Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth
1525,27.2229508196721,865.550819672131,2.88,14.2809491835691,50.7736108356397,9.52260741433635,5.5056076945333,14.4659641785278,3.54109285113528,8.20367869334766,0.966447492172939,0.249327906187949,-0.0617643915907122,0.238714710257165,-0.960589307202171,-0.142420047730964,0.0948395064278348,-0.122897429121953,0.987877365838361,161.122472330562,5.66750324797336,1.89448225538152,0.722406442444339,1072.99626687459,26.2071705180929,862.96685351694,2.65364158073998,196.761967213115,0,1483,0.597125763081158,1,0,39,2.882447,4,2
1139,86.647936786655,868.776119402985,2.92010535557507,12.9571166087126,27.140411599201,11.841490544583,5.58863358894174,9.83125907276956,-2.61339543884376,-3.84764480142879,-0.984290100313977,-0.17056949873243,-0.0455965407247977,-0.167347464244898,0.98361643629177,-0.0670338158505163,-0.0562834312627027,0.0583502558592993,0.996708293838499,46.0376213608779,8.76380614484057,1.95205158696549,0.849366144668158,713.775150975565,87.0980989683699,869.364059657079,3.09873981590198,195.910447761194,0,2140,0.738933205023421,2,0,18,3.211187,4,2
881,139.413166855846,382.465380249716,2.81044267877412,11.8939405121556,34.8819120392262,7.47192442832944,5.20036649312495,12.3905730365289,-3.07313955125397,-2.65199144710276,0.975303005278457,0.214266053852602,0.0536106898038496,0.2119220605529,-0.976193797692715,0.0462029176274407,-0.0622341397130546,0.0337005565637818,0.997492448262877,76.0467367195197,3.48935341641662,1.69023822892605,0.822595704948646,641.324395551462,138.969607572638,380.663518475285,2.56164441708937,53.4812712826334,0,609,0.692984684158746,3,0,25,2.910921,3.605551,2.236068
745,172.459060402685,1020.31543624161,4.95838926174497,11.2474106073197,16.4137110754357,8.73766295451589,7.80230792966199,72.7613860987637,-27.5955928214222,34.0866321168442,0.262638570889112,0.846428333741582,0.46322786716774,0.867924926786063,0.00251602745311883,-0.496689028537235,-0.421577160843341,0.532496709328146,-0.733975443737707,16.8381194542424,4.77167211916996,3.80475056432914,0.895432692307692,446.592386045772,172.418143537573,1020.1205793036,4.9137533834491,846.005369127517,0,3934,0.889905023728891,4,0,5,3.543872,4.123106,2.828427
2891,280.419578000692,980.603943272224,7.97301971636112,17.6746093281784,76.574919498886,20.6199927767557,9.72714157546905,-35.524415207884,16.6633515778788,-49.1161616543569,-0.779690504895773,0.556649273459118,0.286747803710525,-0.203872841332623,-0.658666158183288,0.724289138832712,-0.592046097143067,-0.506261274858648,-0.627041418437538,366.482393516304,26.574006382091,5.91358020182621,0.298441209868896,1865.44856821432,279.033625119587,982.426190335217,7.45837823351418,554.993081978554,0,2859,0.526097501408243,5,0,67,2.742628,4,2
1348,282.626112759644,973.956231454006,7.5459940652819,13.7055696171588,51.1983062404076,21.4900764989344,8.14759878522403,89.9428235649181,-8.73439014818818,6.22033024632725,-0.000986343957988616,-0.988402426640581,-0.151854108066287,-0.994128504455607,-0.0154616620742737,0.107095535083211,0.108201403662129,-0.151068130381335,0.982583775679526,163.82916011791,28.8639617456282,4.14896037281151,0.212685389712843,1273.51310503775,288.539724481823,972.594254256137,8.4447196672254,228.810830860534,0,2162,0.463383573286237,7,3,61,1.756157,3,1
432,281.68287037037,955.875,24.2986111111111,9.37911170156126,13.2186245674341,7.83416748863236,7.74217546145311,53.3934484832987,19.4581770586594,64.7481110067417,-0.562257984397039,-0.756900189354096,0.333118691065981,-0.162789691220308,0.496245139702634,0.852783839993412,0.810780781354723,-0.425256234142718,0.402233340125577,10.9207522159233,3.83588626499652,3.74633005474542,0.771428571428571,351.284837947533,281.38812152332,955.647913279133,24.5448751961204,405.729166666667,0,1582,0.78670857461499,8,0,2,2.44949,2.44949,2.44949
1914,304.518808777429,787.650992685475,2.521421107628,15.4045058116533,53.7479268202855,17.1594811769375,4.81207876842533,82.0986446276616,0.823477727163261,-5.98084268051183,-0.137453779355271,-0.990403911012738,0.0143719028532779,-0.98532053547759,0.13523643319297,-0.104185169306376,-0.101241794270486,0.0284815762891538,0.994454070787071,180.552477342423,18.4029871413545,1.44725637959562,0.645096056622851,1495.09600916004,308.436787280243,785.919977477289,2.00727806906779,187.434169278997,0,1521,0.49862761991409,9,1,81,2.43806,3.605551,2
1275,320.67137254902,980.437647058824,6.8156862745098,13.453558994799,32.0614336144476,8.77054629134274,7.38002546625523,86.2898631476549,27.6755161727364,-61.4586153021171,-0.0573056605020852,-0.883736145859117,0.464463653881005,0.50319444528193,0.37624582530711,0.777968141491914,0.862271077742859,-0.278297508866044,-0.423130104160793,64.2459703383519,4.80765514053661,3.40404849266098,0.819408740359897,755.281873620387,321.867612626007,980.458149619247,5.95267118148753,796.563137254902,0,4095,0.752861668205664,10,0,23,3.372375,3.741657,2
2074,341.445033751205,674.474445515911,6.41803278688525,15.8223156118099,34.1713822489904,10.018568058537,8.76426798701486,-88.6441979756529,5.99562734006845,67.2228484987615,-0.0235315722766034,0.994251440550897,0.104452563724673,-0.389318269925613,0.0871198335490736,-0.916974055960423,0.920802666051917,0.0622431326721872,-0.385030184046438,72.9802103004136,6.27323162147108,4.80077458426335,0.862728785357737,982.119197631325,341.615082402163,674.479274533767,6.4930880017364,595.340887174542,0,2103,0.800803124277471,11,0,9,3.984973,4.123106,3.741657
