Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth
2228,8.06508078994614,115.157989228007,5.17324955116697,16.2046201303281,39.0670619764604,11.2311248014842,9.18552739693506,25.0845579561115,-1.77686980377639,-67.5205340445862,0.905247604801525,0.423751488462475,0.0310072576494479,0.13615137445519,-0.358436854018725,0.923572317100898,0.402479287957859,-0.831839947169524,-0.382168451154643,95.3897082170373,7.88363526915704,5.27336959749029,0.699529042386185,1255.0458617808,7.57050220177588,113.937415116656,5.12233660485083,291.811938958707,0,1645,0.65730658948485,1,1,34,3.097471,4.123106,2
1919,16.284523189161,623.561750911933,4.32933819697759,15.4179080333183,47.0314909985576,11.9043012571039,8.02651761170544,69.1901340360774,6.82344885697156,19.9407478763136,0.352751553629654,0.928143547469853,-0.118810339204725,0.86432599786333,-0.371844834697612,-0.338632526976168,0.358478605818289,-0.0167622850107741,0.933387440976036,138.247571596712,8.85702427624288,4.02656156068861,0.576103272290603,1187.85133781649,14.213125915839,622.67429804177,4.72656562217848,140.825429911412,0,1030,0.628693084417147,2,0,32,2.833028,3.464102,2
1992,28.5411646586345,184.625502008032,3.52911646586345,15.6109825136063,63.8667718901315,8.12387034284448,7.0567484718038,-76.6498759894881,-0.670089361829828,-38.3371109564842,-0.230885223112911,0.97291070543274,-0.0116949990367532,0.764853819191068,0.174054701585176,-0.620244787261394,0.601407223948082,0.152150320770164,0.784321127391452,254.935284479131,4.12482933420924,3.11235618714407,0.676400679117148,1303.8446790268,29.1740351234152,184.520782837596,3.17126289151417,197.38202811245,0,1592,0.587197892541122,3,0,50,2.851104,3.162278,2
2677,36.7885692939858,216.592080687337,3.80351139335077,17.2272748618851,79.3293195829347,10.6389919828049,6.43293843004655,-59.9982900579763,-1.71731200588268,-12.0657541261962,-0.49980125932926,0.865621513417456,-0.0299682612401685,0.850011238625451,0.483554424319436,-0.208940213773044,0.166371858748145,0.129901940824499,0.977469125029899,393.321309093212,7.07425940063667,2.58641855279811,0.548340843916428,1790.37403100541,38.5429517419843,215.70646856578,3.79445458047727,102.781471796787,0,988,0.520761978992182,4,1,69,2.504268,3.162278,1.732051
1672,31.2655502392345,458.613038277512,4.03648325358852,14.7258108221037,36.9347558580767,12.5604201438944,7.36131098032919,44.27739109822,-2.9525722092739,15.2637044118562,-0.715017835213146,-0.697206057892537,-0.0515093017333315,-0.6832145976653,0.68124506117585,0.262912495253754,0.148213726976112,-0.223179030066584,0.963443725224462,85.2610118934831,9.86025963694679,3.38680620931969,0.632614453272796,1043.60171854557,29.8497529745797,457.233558410586,3.9271369073633,206.64533492823,0,1244,0.652790042170252,5,3,29,2.651637,3.741657,2
1285,38.6731517509728,14.315953307393,3.85214007782101,13.488640141865,43.5748413929552,9.00080141241098,6.67318079161389,41.136267849163,-3.78065913263765,-44.6947980713937,0.75150811558526,0.656420485734636,0.065937076955199,0.432715345518471,-0.565892920789274,0.701799566794833,-0.497988937590306,0.49887608492339,0.709316339815452,118.672925151325,5.06340162910371,2.78320886734778,0.612488083889418,865.747051926048,37.6478768628916,12.9725165097005,3.21836169334284,337.379766536965,0,1500,0.660229899704497,6,0,26,2.688843,3,2
2317,22.6344410876133,721.176089771256,4.22097539922313,16.417579847045,67.5789954229335,9.47131427670695,6.51252218624147,54.8075390605325,1.82965664339483,64.1836181770512,0.576030961309553,0.816804093826169,-0.0319281055122826,-0.339325793968662,0.27447096566005,0.899735346953301,0.743670852703217,-0.507441387076824,0.435266471855138,285.432538898304,5.60661213300956,2.65080907664297,0.629619565217391,1509.559348689,22.6033048176774,721.407618824646,3.81719380069436,140.102287440656,0,906,0.560941995237539,7,0,47,2.510911,3,2
3022,34.5069490403706,83.5549305095963,4.34348113831899,17.937638990165,65.5417691893879,13.8811261342808,9.04563618065132,2.91182300975912,1.90164181296493,-12.4651296810217,-0.998158872569364,-0.0507710484073468,0.0331838176627651,-0.0567548945106434,0.974803030591125,-0.215726524793416,0.0213950241912115,0.217212688842013,0.97588979948859,268.482719279688,12.0428539222384,5.11397086954427,0.491861979166667,1904.13523480838,34.9457086585531,84.9935744203207,4.40818670297349,127.355393778954,0,1014,0.530863225760983,8,1,80,2.725564,3.605551,1.414214
3152,59.6535532994924,325.691941624365,3.83565989847716,18.1912494337684,89.9171286998446,9.44963334374324,6.97583332666029,-40.82863464019,-1.99754073691267,-13.7479377602528,-0.756208592748918,0.653401547020475,-0.0348566005793873,0.641335932774494,0.729574448686745,-0.237506516027879,0.129756639849259,0.20195925870007,0.970760357781645,505.318127101526,5.58097314569907,3.04139066258402,0.512187195320117,2038.06894127342,58.7585233003833,326.71921149624,3.95226392228641,215.453362944162,0,2837,0.510100864632101,9,4,69,2.776996,3.605551,2
2156,61.636827458256,313.518552875696,10.9888682745826,16.0281492592323,49.1335462591001,10.1265605292906,9.50917506058938,-59.6209840609767,19.2169025000619,-7.79475216190875,-0.477538896290142,0.814628763148132,0.329145227493484,0.832152455276282,0.539556253452473,-0.128067718563214,-0.281920012960501,0.212741692228099,-0.935554423152537,150.881585499695,6.4092017595866,5.65152564580842,0.554099203289643,1254.20904399772,60.5825313704724,313.848212932506,10.7837837093075,504.955009276438,0,2836,0.643497258061871,16,0,30,3.150502,4,2.44949
654,94.0076452599388,286.607033639144,2.25535168195719,10.7694380408397,25.588915213008,9.82336510770223,4.12585681813557,-36.590169110073,-2.4749111025343,-2.55500043109173,-0.802170821811991,0.595531103096604,-0.0431819160994178,0.597040145893156,0.80097411737242,-0.0445368105206408,-0.00806454123641938,0.0615074673841698,0.998074042659477,40.9245363611571,6.03115637745135,1.06391840523473,0.799511002444988,532.206088145405,93.9225233118468,286.704664455431,2.08279616997309,146.596330275229,0,896,0.684630303736241,17,0,19,2.344033,3,2
