Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth,channel_2_MaxIntensity,channel_2_MeanIntensity,channel_2_MinIntensity,channel_2_WeightedCentroid_1,channel_2_WeightedCentroid_2,channel_2_WeightedCentroid_3,channel_2_Ratio_MaxIntensity,channel_2_Ratio_MeanIntensity,channel_2_Ratio_MinIntensity,channel_2_Ratio_WeightedCentroid_1,channel_2_Ratio_WeightedCentroid_2,channel_2_Ratio_WeightedCentroid_3
2025,35.5076543209877,440.097283950617,3.5837037037037,15.6967160388159,59.3282919849152,8.87119178213038,6.42434814752299,-32.1588855803983,0.450195078245412,53.772518806221,-0.846549197632007,0.532252495286058,0.0078573055413365,-0.319932876491154,-0.496946112375695,-0.806652041424789,-0.425437904433421,-0.685384448799686,0.590974404534452,219.990389365459,4.91862772720859,2.57951557003637,0.761278195488722,1312.30333646005,36.3991430933057,438.636329062723,3.25596185468199,224.638024691358,0,985,0.589838672121308,1,1,49,2.848863,3.605551,2,380,56.9091358024691,0,36.6508707838356,438.151473867807,3.2448000277679,168,3.01319468484794,0.00123609394313968,36.8759388520109,437.271658768511,3.60206034513321
1204,178.213455149502,778.5,6.14950166112957,13.1990484043721,30.7345202633074,10.0503432257543,7.09715827839196,-34.8854375959005,15.4752000397451,65.9250858495153,-0.790558238368084,0.551202404798243,0.266821252326319,-0.433144488646281,-0.195294104546436,-0.879912532405783,0.432901286327152,0.811194256435559,-0.393141647020839,59.0381709884782,6.31308743471664,3.14810347678421,0.7,777.003832850913,178.462056200572,778.011105502272,6.1829042571092,4.93604651162791,0,146,0.704388009665471,2,0,16,2.784315,3,2.236068,115,2.38039867109635,0,179.211095603629,776.846127006281,6.89776692254013,116,3.09843169255212,0.00680272108843537,179.032542462725,777.277918131731,6.75872808744754
972,186.62962962963,197.778806584362,4.26543209876543,12.2901131385953,27.8491251419843,8.55655775519052,6.7290050316197,-33.4103516574575,-2.96092480027103,95.0514771775497,0.833634000858759,-0.549896467683227,0.0516548878783785,-0.0914348745545571,-0.0451678699442346,0.994786171616742,0.544696260614492,0.834010634437122,0.0879331866724903,48.4733606983688,4.57591753861944,2.8299692947227,0.722676579925651,640.495481969579,185.620444865121,199.122574538571,4.5229531471841,2.1738683127572,0,132,0.740876063810348,3,0,18,2.906698,3.316625,2.44949,215,2.7201646090535,0,186.147881996974,199.195915279879,4.32866868381241,216,3.58771170749013,0.0075187969924812,186.347380619371,198.769489228556,4.32254921513652
544,187.455882352941,457.242647058824,3.92647058823529,10.1282269846259,10.1769337903264,9.52601026113391,8.25203288808663,-54.13317640855,-1.09648502389967,7.93900240664542,-0.585795927992734,0.810232645727973,-0.0191361057631986,0.801065504260939,0.582429607637285,0.138093482940528,-0.12303328261206,-0.065565325776108,0.990234315415081,6.47312383579297,5.67155446845178,4.25600292412896,0.947735191637631,330.789311173234,187.373054543734,457.053105634136,3.71889871800937,194.292279411765,0,695,0.974238429414745,4,0,1,4.89898,4.89898,4.89898,3970,2056.01654411765,468,187.508379728433,457.161592635674,3.51013479985659,3338,108.580371368951,2.08982035928144,187.556503459644,457.491190950054,3.77991195016298
376,200.632978723404,472.045212765957,3.57712765957447,8.95494812153839,11.6456278304057,7.25615736237569,6.6810075833671,84.1760836926884,-18.7729709734684,28.6068308535107,0.0960734022323236,0.941914210498323,0.321819081853184,0.889029765411645,0.0642060165383357,-0.453325119150037,-0.447656092995083,0.329659229359044,-0.831221279144596,8.47629047276998,3.29073872922243,2.78974139556305,0.912621359223301,272.236341143647,200.061739522307,471.963046417305,3.15772870662461,17.7047872340426,0,325,0.925400909287173,5,0,1,3.605551,3.605551,3.605551,110,2.82712765957447,0,199.930385700847,472.12041392286,3.57949200376293,111,2.81494628494445,0.00306748466257669,200.562108652024,472.120933435337,3.9311160299365
680,237.033823529412,474.977941176471,5.25147058823529,10.9103017820975,18.4822633512474,8.69821259860232,7.06547340502944,-31.5230946506014,-13.9714340022982,-137.261826666861,0.827211401876424,-0.507374554241622,0.241438104519061,0.244335970694346,0.71174620274247,0.658572149659039,0.505985404957983,0.485786377525956,-0.712734428367057,21.3496286615539,4.72868140065526,3.12005715232365,0.751381215469613,458.92774286932,237.052147239264,475.194614860259,5.47068847989093,4.31470588235294,0,123,0.814852659606686,6,0,11,2.796862,3.464102,2.236068,183,4.68235294117647,0,236.628140703518,475.207286432161,5.09327889447236,184,4.96047655922264,0.00806451612903226,236.707415669557,475.050841851773,5.21165517957437
844,251.484597156398,587.825829383886,4.07227488151659,11.7250474276333,19.7184316841333,8.91700190082238,8.88836325401519,37.43053093887,-1.44340917785069,-40.0862866039969,0.793838886998682,0.607606210180231,0.0251895779859245,0.452131582603292,-0.617398356626801,0.643736204704356,-0.406690119748852,0.499633828503377,0.764832781667812,24.3010342551145,4.96955768120438,4.93768758345797,0.721984602224123,560.43972233223,251.301477463999,587.512810922012,4.08154105105667,6.33530805687204,0,200,0.770637573239216,7,0,12,2.930064,3.605551,2,126,3.62085308056872,0,251.62140052356,588.234293193717,4.13350785340314,127,3.90445857718744,0.00497512437810945,251.592449915397,588.066716807713,4.13570359723505
2117,263.887576759565,831.981577704299,5.7094945677846,15.9309159097195,48.4179764074023,10.3425048297058,6.18391540937984,-46.7498806013814,-0.376826448127525,-99.8699738232553,0.68516968936188,-0.728353789230644,0.00657681481469952,0.120412245821943,0.122168862907832,0.985177983915558,-0.718361599638971,-0.674222164163393,0.171409117362437,146.518777461735,6.68546288453051,2.39005061189785,0.88355592654424,1174.98369679876,264.463974898337,831.50232205996,5.91971916733662,121.038261691072,0,832,0.678577604809699,8,0,28,2.976021,3.464102,2.828427,701,126.674067076051,0,264.451461578333,831.133583672982,5.61994488550131,371,20.0918706962425,0.003003003003003,263.681534992118,831.41449723683,5.26408102830045
563,298.484902309059,480.042628774423,4.33392539964476,10.2447946459704,14.3955302234126,9.29467602921525,7.62856401395098,9.07556994091932,17.0949168616678,-130.170392126081,-0.943853344721308,-0.150768069954625,0.293955528508238,0.120057787936969,0.67241836819718,0.730369540483942,0.307777502774459,-0.724653384172875,0.616563444904673,12.9519556508241,5.39943765550429,3.63718680718424,0.724581724581725,410.747597301094,298.56644228372,479.812515582149,4.37222637746198,7.12433392539964,0,280,0.802751925677592,9,0,9,2.97887,3.162278,2.828427,282,20.0746003552398,0,299.323128649797,481.332772960538,3.97743762165988,283,17.3661559148714,0.00355871886120996,299.372308503705,481.270018555727,3.90520840487752
610,296.563934426229,70.2918032786885,3.57049180327869,10.5222933245503,22.0675629761419,7.39029833679227,5.92802530357237,23.7401616303577,-3.28069967681778,-80.5531342523501,0.913880451109797,0.40192973044822,0.0572277280797971,-0.0144034603661393,0.172970892915286,-0.984821613559314,0.405727816902952,-0.899184943149022,-0.16386389658877,30.4360834816244,3.41353184417466,2.19634274998714,0.785070785070785,449.415448794643,296.358570198105,69.7191214470284,3.13410852713178,19.0327868852459,0,554,0.773967427634845,10,0,13,2.832184,3.162278,2.236068,398,53.1819672131148,0,296.249930643322,69.6499491384359,3.1028636601831,399,33.6027007287616,0.00393700787401575,296.345799760579,70.0271219588947,3.20758874774045
