Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth
2113,24.3251301467108,723.428300993848,5.27023189777567,15.920875941149,61.2420433186349,8.31088273437752,7.42888106097994,-61.4798233708714,5.70122377026809,37.3571693825049,-0.475106383770526,0.874302744612248,0.0993410029342554,0.727191354419891,0.326560921816205,0.603780339527146,0.495445918499142,0.359099812177674,-0.790936575672475,234.411741865097,4.31692323903591,3.44926711363667,0.640109057861254,1326.49802709,16.5303952642082,727.789741912763,3.79859133672083,282.210127780407,0,2427,0.600312215608054,1,0,44,2.766853,3.316625,2.236068
2727,30.2995966263293,61.6417308397506,4.80564723138981,17.3338688057357,51.3341883024784,10.7851559423456,8.71670858029679,68.843094871391,-2.06567967791849,-52.9833056412239,0.360688682097333,0.931989498460211,0.0360451018416155,-0.551079414348818,0.244133632319478,-0.797941256391385,-0.752472692984837,0.267944666545878,0.601656465087649,164.699930542144,7.26997429379452,4.74881302961372,0.689332659251769,1540.03413139238,28.5991723392556,60.9837999393238,4.20419542463831,309.433076640997,0,1575,0.612929518027173,2,2,48,2.776528,3.605551,2
4012,32.1959122632104,94.2148554336989,5.71311066799601,19.7145756751497,72.293345079292,12.1931298064464,9.53668647673357,57.0551487541245,-2.75408910177985,-70.16867872746,0.54320339222078,0.838225106069994,0.0480494144999175,-0.260117446104842,0.222427526785757,-0.939608913090902,0.798291293270653,-0.497900257965306,-0.338860360925189,326.6454839221,9.29202590480323,5.68427430971951,0.560883545365581,2234.56802963921,31.7321880675963,93.9541441824793,5.14156282831934,198.572033898305,0,1336,0.546425753446226,3,3,72,2.712823,3.741657,1.732051
2829,65.0127253446447,51.0883704489219,5.86355602686462,17.547346084609,52.0345921379621,14.8922431291347,7.48555912233372,-82.2844381568808,4.21690218556851,-33.9286894554025,0.133891884659863,-0.988264109081675,-0.0735324004996008,0.816710915222193,0.152067392107393,-0.556649610809694,-0.561298712076874,-0.0144761513759755,-0.827486674733909,169.224923685254,13.8611815885787,3.50209971087211,0.588271990018715,1748.02839481317,63.3156124956748,51.6187262112837,5.192394708591,159.365146694945,0,1437,0.553381037341385,4,2,64,2.536237,3.162278,2
2796,119.321173104435,260.187052932761,4.2725321888412,17.4788497143018,68.3093532955054,9.59861647941998,7.66500178192195,88.751326927622,-0.627875441319883,-53.6100371423826,0.0217904228280553,0.999702502595078,0.0109582744130932,-0.592944757481877,0.0217478433834897,-0.804949405790778,-0.804948254267151,0.0110425365430815,0.593242252658188,291.635484228136,5.75833989493706,3.67201576980417,0.701631116687578,1641.0818346389,119.522160512517,259.893415940988,3.87919157775498,237.432403433476,0,1582,0.58485112678134,5,0,55,2.885061,3.741657,2
2246,104.804986642921,524.63446126447,3.91585040071238,16.2481421481064,68.8353753378173,9.45206242428783,7.4535786067313,41.7677785743424,2.9878706467737,-11.1744138335891,-0.744836804003142,-0.665207611872747,0.0521245480454372,-0.661019065762902,0.724981958504329,-0.193532825487477,-0.0909501517333758,0.178605691258099,0.979708159070798,296.144306118637,5.58384275453962,3.47223962792016,0.609167344724708,1458.10746277018,107.714305421098,527.802114048247,3.19448406334755,180.743989314337,0,1326,0.568810703023181,6,3,54,2.691874,3.464102,2
1639,102.647956070775,796.571690054912,4.4032946918853,14.6282860351055,44.2435274925936,8.57077397418797,7.20256522946003,-47.5697016339659,-1.88508755803746,-92.0048550036504,0.674327657052773,-0.737699211518596,0.0328950491496831,0.00364131015137135,0.0478685039138714,0.998847008902479,0.738423287684036,0.67343038219098,-0.0349652477184237,122.343107811743,4.59113540728861,3.24230911778917,0.715720524017467,1007.65281327717,102.175767869914,796.995179640155,4.08960599616065,259.348383160464,0,1560,0.6671536070871,7,1,26,2.638664,3.605551,2
2087,100.844274077623,631.956396741735,6.16530905606133,15.8553052988121,42.9680534224309,10.5283175839631,8.08580127160309,-41.7800065835472,-2.58806520794202,-95.7819726036899,0.744947916696028,-0.665592695574146,0.0451549001614387,0.0336213617757685,0.105057511424123,0.993897642277973,0.66627487228815,0.738883808789794,-0.100640507081877,115.390850932055,6.92784194679917,4.08626138774114,0.715951972555746,1140.12192391904,102.412561589999,630.128474404043,5.52590934775142,605.461427886919,0,2831,0.692704156418662,8,0,24,3.349201,4.123106,2.828427
2337,107.226786478391,13.0042789901583,3.94608472400513,16.4646826151162,41.8143447635255,18.5335351907835,5.2124688794814,44.8030819279285,4.80101630594464,-15.1912433489865,-0.707043348622228,-0.702199945364034,0.0836955189948331,-0.695609967652361,0.669284637386749,-0.261122283730759,-0.127343928287718,0.242844211149523,0.961670532479507,109.277464250186,21.4682454167506,1.69811448872263,0.693266093147434,1495.09391691278,109.792651681139,14.4878462037309,3.34162016879804,228.299957210098,0,1132,0.56962379771091,9,2,38,2.445498,3.162278,2
2213,110.202440126525,919.292815183009,3.96882060551288,16.1681723686445,65.3116415634612,9.34252562869361,6.1563338061151,27.2643018136626,2.69940003752778,-44.0132444622005,-0.887916467309955,-0.4575874940495,0.0470959910110067,0.358540952616123,-0.624289946758525,0.69405363457975,0.288188709662494,-0.633147492821172,-0.718381180124682,266.600657732127,5.45517407017482,2.36877787076973,0.665363800360794,1430.8939069346,111.893447029437,922.110467585621,3.48173526153371,152.140533212833,0,1113,0.573937100565782,10,0,52,2.77203,4,2
