Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth
550,23.4709090909091,862.910909090909,4.38909090909091,10.1653270484286,12.9502908789911,9.36115630007432,7.93161150232779,29.1483933001105,-32.5883974666767,-10.2156520024151,0.735860457928195,0.410389129486386,0.538600175322209,0.395925943314427,-0.906042455725174,0.149431308078589,0.549319609943327,0.103285191692242,-0.829204519590196,10.481877115655,5.47695295465132,3.93190381399116,0.773558368495077,396.009361324452,23.1195400823556,862.396573070277,3.59079423434069,0.319841826845947,0.0618541618707455,0.80378957018809,0.819760771170653,1,0,1,3.605551,3.605551,3.605551
1053,56.3019943019943,69.3703703703704,5.96106362773029,12.622438100505,31.8147047538186,11.7811131627856,5.52085919299388,-76.3919862436188,19.9043379191455,65.8912361334157,-0.221223098293736,0.913867405506378,0.340450739365273,-0.470117101539393,0.20592630787702,-0.858244875641177,0.854429781562839,0.349915305291409,-0.384069040019239,63.2609649107905,8.67466420964755,1.90499288930406,0.658948685857322,730.90565190137,55.1725892931949,69.6048320926874,5.41680341522782,0.311717602557075,0,0.804140954775187,0.684817818334451,2,0,21,2.261249,2.828427,2
797,94.1643663739021,878.459222082811,6.98494353826851,11.5032325524712,22.8105950735239,8.79360553503793,6.69385645310287,-82.2144616014871,35.7388372598795,-94.296007436059,-0.109955693514085,0.804205707677682,0.584091538376029,-0.153120672602923,0.566933840346915,-0.809407240078273,0.982071181272246,0.178435423635942,-0.0608029152787677,32.5202029755172,4.83296864411559,2.80048213842169,0.71415770609319,544.574619656106,93.2893733564314,878.641981752502,6.42389198285095,0.304014563843832,0,0.876302942393147,0.763365055240214,3,0,13,2.764525,3.162278,2
565,137.769911504425,602.796460176991,5.01061946902655,10.2569115048637,17.2891105989172,9.08421448424937,5.64030607981182,-28.9381318214134,-14.4220634444928,-44.8883681880106,-0.847564607883071,0.468617041917152,-0.24906285047922,0.496634457717168,0.534974620905539,-0.683488383511343,0.187052000449048,0.702993757448666,0.686156925284746,18.6820840813496,5.15768454974037,1.98831579212263,0.779310344827586,402.041489543939,137.605408722979,603.13202703508,5.19997722323671,0.298338816114719,0,0.869948319200345,0.822076467375727,4,0,11,2.557114,2.828427,2
894,152.135346756152,517.104026845638,10.5089485458613,11.9521572629837,30.3156319387918,7.57275267880652,6.80756795059923,74.2567945967607,-42.9515529940115,-32.5721958872195,0.198591897688255,0.704473523132601,0.681379713065864,0.711571054607353,-0.581718594106335,0.394043286347995,0.673964310937572,0.406596277007168,-0.616807567322543,57.4398462405183,3.58416144589821,2.89643633762662,0.675226586102719,620.399332164428,151.727804772342,516.911549826723,10.1154324968644,0.405391017181084,0.0645080106577897,1,0.723387747761858,5,0,17,2.537472,3,2.236068
793,158.689785624212,609.996216897856,3.00126103404792,11.4839560478955,32.5586884323354,8.7662533526695,5.2720311729138,9.68964828297922,-3.12741244903306,24.7620297060139,-0.984265823707258,-0.168060619335742,-0.054556544157047,-0.175360984546553,0.891254754225031,0.418226599070581,0.0216636419084268,-0.421213237327327,0.906702870470529,66.2542620271183,4.80294986519933,1.73714454301093,0.677777777777778,607.411377789171,158.681386096496,610.029518428571,3.01044596917866,0.232686371070742,0.0112951078198753,0.678753357978064,0.682103052942608,6,0,26,2.306625,3,2
1145,181.056768558952,565.023580786026,8.06899563318777,12.9798285160322,36.9026041809384,8.17558031729369,6.32649655558226,-45.7216495490815,23.8995899537438,134.097041978295,-0.638283675213217,0.654568213609544,0.405135043767284,-0.295089697574721,-0.694131510409891,0.656584736832454,-0.710996498121874,-0.299536141372113,-0.636209147741792,85.1126372084381,4.17750709528252,2.50153491673714,0.662999420961204,780.725598897851,180.765846084961,565.204134826504,7.99923187407169,0.394646236406703,0.0296183283481337,1,0.677937039916002,7,0,28,2.627563,3.162278,2
1233,240.476885644769,436.294403892944,7.85401459854015,13.3041812055772,15.0686347584875,11.1672375973155,10.5746312259625,51.2699496467221,-74.3848685292126,-76.1616623131788,0.16840933199782,0.209983414309485,0.963091513102976,0.398483002391927,0.879148220737118,-0.261361249575133,0.90158171770548,-0.427791271170521,-0.064381943194858,14.1914845927936,7.79419972218104,6.98892659781876,0.888968997837058,583.690125233931,240.487277539047,436.345667677286,7.81007444999194,0.354209468902348,0.0507874322495686,0.796036170162637,0.952672939846527,8,0,2,5,5,5
1510,248.403973509934,506.092052980132,8.21788079470199,14.233972037602,27.1415283038276,15.2387704828288,10.4886161759747,71.0095835482282,16.9680865345174,-53.4424562239946,-0.311244073564614,-0.904409820467943,0.291839002383246,0.63949485685526,0.0278395230844505,0.768291148595441,0.702974718412104,-0.425755607826336,-0.569700542107738,46.0414099167171,14.513757864271,6.87569183043238,0.469089779434607,1032.40711266909,248.869579869465,506.05096194962,7.57902586085856,0.368130995247394,0.0896248804404151,0.797638037042101,0.616525581425928,9,4,49,2.381098,3.605551,2
1386,272.887445887446,621.849927849928,7.70923520923521,13.8331643252601,49.6303758232636,15.822016989874,6.23327910663751,53.8446203443694,25.1313565943314,68.9689120767041,-0.534127763529177,-0.730986817489739,0.424694955095469,-0.0558929941297962,0.531792419028933,0.845028281343626,0.843554091587805,-0.42761559340087,0.324902137336607,153.948387772399,15.6460138517413,2.42836052632773,0.405026300409117,1030.87157852643,274.440888508167,623.055248450985,6.49985416495614,0.442985232082966,0.074642047983396,1,0.583160874467756,10,0,40,2.393392,3,2
