Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth,channel_2_MaxIntensity,channel_2_MeanIntensity,channel_2_MinIntensity,channel_2_WeightedCentroid_1,channel_2_WeightedCentroid_2,channel_2_WeightedCentroid_3,channel_2_Ratio_MaxIntensity,channel_2_Ratio_MeanIntensity,channel_2_Ratio_MinIntensity,channel_2_Ratio_WeightedCentroid_1,channel_2_Ratio_WeightedCentroid_2,channel_2_Ratio_WeightedCentroid_3
1614,11.1976456009913,970.045229244114,5.5817843866171,14.5535285668696,53.9170469568492,9.53615360179691,7.42412963182751,19.3267835585725,-2.23472873514213,-44.1395807286191,0.942928669541706,0.330703843651154,0.0389934860029346,0.21188362179288,-0.686190672028183,0.695879078890465,-0.256886852470577,0.647902252979463,0.717099585561096,181.690497034192,5.68363909481652,3.44485629938622,0.542521008403361,1160.63859571063,10.9922098475654,969.419638990328,5.62654052002075,231.760842627014,0,837,0.573309937413685,1,1,51,2.207307,2.828427,2,522,63.1957868649318,0,10.3587521323948,967.167258181533,4.8883017314065,197,2.41244795236821,0.00140845070422535,11.1977847571705,969.370601772159,5.22107275949266
1077,11.8560817084494,432.329619312906,3.72144846796657,12.717615591539,47.1117617046802,6.57584482568276,5.65204828788843,5.95390639021875,4.51567696903056,-94.4636546762002,-0.991518238931974,-0.103406360772921,0.0787318640509502,0.069996810600328,0.0855488226501606,0.993872147435953,0.109508120114531,-0.990953340725421,0.0775851025268997,138.719880682411,2.70260844821613,1.9966031155389,0.735655737704918,798.980974997017,11.8349287997126,432.531564515214,3.65380207643866,245.492107706592,0,886,0.63595270925375,2,0,41,2.376295,3,2,570,119.233054781801,0,12.1006821686109,434.048857601196,3.0095316710016,417,4.38676023358451,0.00190114068441065,11.8771460270707,431.388898481484,2.88362642772125
946,52.5887949260042,642.42600422833,5.95243128964059,12.1795386530138,40.6046847507388,7.63088057217456,5.2264971775689,86.3611852201309,15.6691518943572,-69.5534741918331,-0.0611080231574527,-0.960896182102127,0.270082092570656,0.364690040551143,0.230385374322368,0.902177229606882,0.929121619503386,-0.153626516330674,-0.336350872827033,103.04627648168,3.63939614417445,1.70726704669598,0.673309608540925,724.935705892244,52.2048408073307,642.379759150972,5.99215701847568,212.953488372093,0,750,0.642853566666411,3,0,34,2.223333,3,2,1218,117.752642706131,0,56.2332621146561,642.569258667433,4.55742679138912,389,4.60127689990496,0.00151285930408472,58.1181051735543,642.75780610977,3.89601630276155
432,75.3333333333333,724.993055555556,4.93287037037037,9.37911170156126,12.445370538619,8.03149677625195,6.51620010556225,-13.6251781878765,49.8731879248865,106.224467997178,-0.626344238703163,0.151820001157229,0.76461989373281,-0.647688895416278,0.444485636936524,-0.618814684143463,0.433811006542937,0.882826826623291,0.180068889029874,9.68045299022029,4.03155877918409,2.65380398848309,0.919148936170213,298.705037447065,75.4240613789263,725.022455704753,4.97362367525034,507.171296296296,0,1309,0.925189600106884,4,0,5,3.064911,3.162278,3,851,260.358796296296,0,75.3004312069349,725.337781729273,4.10721493665259,288,1.33224946194281,0.00235294117647059,76.0678514705809,726.629885378166,4.10134530131366
830,78.2228915662651,552.921686746988,10.8686746987952,11.6598551891494,29.3457269600467,6.90993394093294,6.03873991619622,88.0472386740187,45.5946325722123,-61.5260624110273,-0.0238436705162213,-0.699323908042416,0.714407132534801,0.497881109281355,0.611377703640439,0.615086745518151,0.866917458814322,-0.370355741323969,-0.333602674556564,53.8232306758508,2.98419919175357,2.27914873596634,0.855670103092783,556.871035050918,78.4479032421994,552.919634109157,10.7174590913711,296.355421686747,0,1173,0.76697561595616,5,0,15,2.841355,3,2.236068,1265,260.415662650602,0,79.8479770524416,552.860806403109,9.13740313215665,424,5.3275459822014,0.00854700854700855,78.0999202016299,552.555428654938,10.3781699821639
1525,90.0295081967213,537.247213114754,12.1095081967213,14.2809491835691,37.8855951296059,8.96522624679925,7.13845364702856,17.1269877058967,37.962459331338,-81.1634648472412,-0.753451287138034,-0.232180420055374,0.615145032047687,0.626126900012869,0.0322004089191218,0.779055992047887,0.200689469056836,-0.972139591935413,-0.121112967106473,89.7073948952763,5.02345510351862,3.18484502942347,0.739214735821619,879.932214412441,90.0864453781161,537.411930354428,12.1001369788416,626.15868852459,0,2061,0.728139854577947,6,0,24,3.237522,3.605551,2.828427,859,79.4183606557377,0,90.6396918580169,538.997316555613,10.3168858834312,50,0.240629351624013,0.000640204865556978,90.03035200193,535.244679543129,12.8333709065671
1055,132.23317535545,610.45308056872,13.685308056872,12.6304244601811,35.696574582456,7.48135295474687,6.3517325854155,76.4256401152529,-58.2263924728069,-65.2616660206886,0.123588385031351,0.511855271750201,0.850135337382743,-0.22556381997239,0.84876786426476,-0.478240604414663,0.966357529180999,0.132654790237543,-0.220353879979972,79.6403398075528,3.49816512709372,2.52153167728932,0.743481324876674,696.346082693764,133.076793685517,610.663937091672,14.9998048895852,320.635071090047,0,1107,0.719715121424123,7,0,24,2.929738,3,2,1580,441.19336492891,6,131.26953609233,610.155190897587,12.1703780569288,582,8.29243686572135,0.0186480186480186,130.718602258668,610.183274342153,12.2163460742603
1625,187.896,317.928,10.7532307692308,14.5865162779636,44.4140312785103,9.14841018471292,6.66332814632001,-43.9975071491475,30.6933575781557,65.4940882701862,-0.618594522694248,0.597317775950186,0.510443229974302,-0.622242212817357,0.024242262807897,-0.782449321861878,0.479745187657817,0.801638189726435,-0.356680203671706,123.287885900531,5.23083805673494,2.77499637409627,0.689728353140917,997.884864464943,188.289962370444,317.58850150627,11.1252610142579,452.672,0,1442,0.669842345990334,8,0,21,2.964286,3.316625,2.828427,1033,247.216615384615,0,185.843338884367,319.689921264939,9.04655400309165,365,2.41075094642091,0.00156985871271586,183.807603923858,322.72232788219,7.67286203619355
1725,195.027826086957,714.336811594203,13.736231884058,14.8797908116317,47.5088810347907,8.74485794338846,6.88360788419254,31.5299383482071,-39.6588784836954,116.340295547062,0.656201410578417,0.402592532864804,0.638215450483923,0.25548235222857,0.677295716527524,-0.689927010685351,0.710020053558104,-0.615783862126127,-0.341587117278123,141.068361073619,4.77953377812777,2.96150359395736,0.720551378446115,1034.96691669166,195.381444219352,714.907617145392,14.2141445397051,610.377391304348,0,1872,0.672073941247313,9,0,28,3.108175,3.464102,2.828427,1010,143.99768115942,0,193.686114108118,711.864023575259,11.3814835987697,110,0.609294366863683,0.00078003120124805,194.192372235853,712.623189112462,11.6244385631941
1843,201.448724905046,96.9788388497016,6.16820401519262,15.2116236133821,43.2622161461194,11.2418736575915,6.23515887565362,81.3385169401431,-5.64247344559971,-59.0555169842924,0.149866602806474,0.983805394281987,0.0983206364142896,0.495643701669738,-0.16080224990169,0.853510373353291,0.855498288927784,-0.0791806959316399,-0.511715834260984,116.976209117097,7.89873270832814,2.42982538779012,0.73838141025641,1138.8907447216,201.617164042798,97.0896078136065,6.18389885635,338.655453065654,0,1261,0.638291338239169,10,1,28,2.564596,3,2.236068,734,142.268583830711,0,200.087543525768,96.5869466554285,5.40701599154847,356,2.75010002757874,0.00162337662337662,197.703811175808,95.9762787316444,4.97100924848419
