Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth,channel_2_MaxIntensity,channel_2_MeanIntensity,channel_2_MinIntensity,channel_2_WeightedCentroid_1,channel_2_WeightedCentroid_2,channel_2_WeightedCentroid_3,channel_2_Ratio_MaxIntensity,channel_2_Ratio_MeanIntensity,channel_2_Ratio_MinIntensity,channel_2_Ratio_WeightedCentroid_1,channel_2_Ratio_WeightedCentroid_2,channel_2_Ratio_WeightedCentroid_3
519,3.9980732177264,800.150289017341,5.26782273603083,9.97063715195645,10.4125189319167,9.2431604834583,8.08543170498911,-18.7044254337007,31.7788645090624,67.4617764536807,-0.80519010931394,0.272611134354928,0.526642247914772,0.583648343636283,0.207067938561294,0.78516079868432,-0.104992851345356,-0.939577585005994,0.325838093108643,6.77628440672022,5.33975098268531,4.08588786600269,0.91858407079646,329.763634172852,3.97179566324562,800.106065282815,5.32757157188055,49.9383429672447,0,442,0.94709367391819,1,0,1,4.123106,4.123106,4.123106,475,123.543352601156,0,3.67239039910167,800.0618381447,4.59712409738143,448,44.5749244885848,0.00613496932515337,3.54290626032726,799.911114480344,4.34500612796848
4535,113.494156560088,593.931863285557,4.37794928335171,20.5364902359134,113.314386324076,8.96922083074072,7.92995881748814,-23.694840510965,-1.37620760601173,-15.5017354347974,-0.91543465099402,0.401749401166384,-0.0240170444040921,0.393124256349997,0.879808258590618,-0.267190469861868,0.0862132172507124,0.254037097248011,0.963344400717151,802.509384250121,5.027932644412,3.93026542794111,0.629598778286825,2685.77511125425,115.971359192859,588.709390394303,4.15875598352831,63.2939360529217,0,797,0.493324487968845,2,1,102,2.855009,3.605551,2,208,6.52370452039691,0,113.565725874599,593.958864289336,3.97955044786209,146,2.16233575561998,0.0012531328320802,112.101546068238,596.726654803186,4.26887172563213
1849,139.935100054083,811.708491076257,8.68307193077339,15.2281131911854,27.2965450746613,12.5161550335547,7.83910555624912,-51.8201399337107,29.878610606295,-87.5617271628418,-0.535971719814401,0.68159142144491,0.498164079166594,-0.274210437920389,0.417536627489125,-0.86629775507069,0.798462867824611,0.600912887961071,0.0368883421636622,46.5688358133136,9.79088355149861,3.84072349512599,0.868075117370892,891.334603673318,139.807283929607,811.754520726547,8.57731459180053,187.496484586263,0,860,0.817337260968484,5,0,7,3.798188,4.24264,3.162278,322,37.4970254191455,0,139.220085963192,812.034644897017,7.76895228754399,283,2.53902032249033,0.00118343195266272,139.889675919024,811.215973760378,7.84073766049273
1011,182.461918892186,496.073194856578,5.36696340257171,12.4523363939169,15.7481122948996,10.1719932002073,9.21084493365815,29.2455178442534,19.6842159398976,-68.429924418112,-0.821546271523545,-0.460003597624044,0.336835885734727,0.452929641164313,-0.167739861371826,0.875624393825188,0.34628956654876,-0.87192891285924,-0.346155322102051,15.500190053298,6.46684035406651,5.30247902449351,0.90999099909991,520.783577384683,182.750001720803,496.652624913099,5.20723287972963,143.700296735905,0,757,0.935393356359012,6,0,6,4.239357,4.472136,4,3117,1049.25816023739,150,182.51661387632,496.101029411765,4.96523755656109,1824,86.378282280082,1.08902691511387,181.850760933485,495.14954581667,5.37133008981361
1096,201.13503649635,182.196167883212,6.8521897810219,12.7919664180237,14.4203008116034,10.5421258459624,10.289113365079,-53.6649071283651,-80.313011578983,-33.5913124293422,0.099698450044937,-0.135548908643015,0.985741706748946,-0.994179529684239,-0.0542245003809802,0.0930954688223823,-0.0408323623546726,0.989285700353604,0.14016604888637,12.9965672185707,6.94602608450677,6.61661586496544,0.922558922558923,533.709667092601,201.098301085304,182.136870583172,6.81727781981882,377.387773722628,0,1183,0.963206544336783,7,0,4,4.738423,5,4.472136,2203,1083.11131386861,231,201.149352618588,182.164036425208,6.46596130032264,1011,7.73125828088471,0.685436893203883,201.84920691349,183.075041498825,6.12933195882651
548,239.406934306569,576.406934306569,4.7007299270073,10.1529904743564,13.3945751487998,9.09887043385242,7.10286678348572,-47.1619544550319,-5.18942150069957,90.28013152364,0.677141417648939,-0.73027291581129,0.0904487088733791,-0.0650830516983549,0.0629990001117215,0.995889211893849,0.732969096815148,0.680244510758742,0.00486915768753776,11.2134152135529,5.1743401982521,3.15316978399655,0.837920489296636,365.910860742095,238.812641509434,576.858301886792,4.84698113207547,9.67153284671533,0,158,0.885039247246694,8,3,7,3.12151,3.605551,2.44949,106,5.11131386861314,0,240.19564441271,576.072831131739,4.83862906104962,107,5.02331740733428,0.00628930817610063,240.22840313942,575.923015217036,4.87946190068768
807,242.83395291202,346.106567534077,4.43370508054523,11.5511432784491,13.4645124843736,9.97990689104165,8.81709066165925,11.9173762205808,3.38726065269318,-32.7871854119911,-0.976737048088689,-0.206140171276119,0.0590844199196939,-0.204908591158196,0.815960814081842,-0.540574156940989,-0.0632234779220324,0.540105711568716,0.839219048979641,11.3308185276158,6.22490884711629,4.85881798349492,0.934027777777778,439.848618193638,243.006097100574,345.933649199638,4.22332754454848,131.291201982652,0,580,0.953008079049787,9,0,2,4.12132,4.24264,4,1517,632.157372986369,67,242.955183857329,346.127768052988,4.07993907686156,1197,58.7334311651138,0.63768115942029,242.469021808849,346.141967223828,4.05956350564498
506,294.01185770751,471.756916996047,4.18774703557312,9.88668350216197,10.510767703798,9.57809912199792,8.1829007142382,-44.2790771213031,17.2132975907086,43.050052414595,-0.683880219564493,0.666883369591616,0.295929749519294,0.65481174746234,0.382148396020277,0.652061483914244,-0.32175988046016,-0.639710227197644,0.698026793572426,6.90476485770019,5.73374892442608,4.1849915061925,0.829508196721311,341.375772668226,294.090661831369,471.713206406769,4.22272589906316,13.0790513833992,0,183,0.899535773850561,10,0,1,4.123106,4.123106,4.123106,120,9.49604743083004,0,293.585223725286,471.576482830385,3.9423517169615,105,6.89120406083758,0.00558659217877095,293.324848522985,471.819423884803,4.02832504205738
1075,325.506046511628,592.016744186046,4.61953488372093,12.7097384662091,21.3772827679847,9.35510865899552,7.85025775372954,69.7472144702361,-2.48531221613959,-73.2732622713974,0.345837057617719,0.937292033225993,0.043363279735299,0.255638010801284,-0.138589185838225,0.956787460725871,0.902798946062677,-0.319807257609613,-0.287536747161711,28.5617636588984,5.46987862635081,3.85165917499942,0.886232481450948,586.269237026629,325.070037502214,591.818133514042,4.57774971315042,120.799069767442,0,641,0.865617433174302,11,0,6,3.823293,4.123106,3.605551,2415,1120.33581395349,212,325.094563008932,591.794945203307,4.3569071067562,1860,122.797663353074,1.5765595463138,326.372590986864,592.132304310698,4.54736836651243
873,324.021764032073,451.887743413517,7.77892325315006,11.857829654582,12.8222017835616,10.5612332222099,9.2868031908658,-46.4272320092317,-58.0542340330414,-69.3914906929748,0.364706781025065,-0.383344517466251,0.848549317837745,-0.802465569382162,0.332820988065822,0.495256700973397,0.472268963441912,0.861555088680612,0.186238705263018,10.2755536611482,6.97122794836944,5.3902945941172,0.906542056074766,458.194528092689,324.098963141477,451.58499421808,7.90279572818176,117.877434135166,0,601,0.964074039906282,12,0,1,5,5,5,1827,781.222222222222,125,324.052497994889,451.840058826376,7.60742485047807,1081,93.3003433601657,0.973684210526316,323.993930802756,452.163786642091,7.59516227697343
634,328.872239747634,422.607255520505,8.78233438485804,10.6585193634657,18.0243126047691,9.26794772683067,6.39702455298329,-14.4092040578086,-59.3342136718182,52.3357404964405,0.493985481073036,-0.1269185034065,0.860156984498815,-0.507432469494529,0.761252199059101,0.403741722305692,0.706038691143569,0.635914131719635,-0.311644964162006,20.3047403046523,5.3684284417041,2.55762019571694,0.756563245823389,443.980312870728,329.029468786351,422.869329197363,9.02307095773556,8.13564668769716,0,287,0.803859070988176,13,0,11,2.632976,3,2.236068,179,20.8596214511041,0,329.280756143667,422.546238185255,8.9640831758034,180,17.7139803425593,0.00347222222222222,329.134460341211,422.627952929362,8.99694897631485
