Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth,channel_2_MaxIntensity,channel_2_MeanIntensity,channel_2_MinIntensity,channel_2_WeightedCentroid_1,channel_2_WeightedCentroid_2,channel_2_WeightedCentroid_3,channel_2_Ratio_MaxIntensity,channel_2_Ratio_MeanIntensity,channel_2_Ratio_MinIntensity,channel_2_Ratio_WeightedCentroid_1,channel_2_Ratio_WeightedCentroid_2,channel_2_Ratio_WeightedCentroid_3
779,10.4698331193838,529.155327342747,3.07702182284981,11.4159733197957,36.8523815393445,6.23050704467916,5.598398605329,-9.61315849702263,3.72862554301404,-103.359956879127,-0.983870687828732,0.166641698676054,0.0650308687761198,-0.100969750070273,-0.217257317050978,-0.970878142589768,0.147660350812817,0.961784696514854,-0.230578876629378,84.8811265700886,2.42620112711229,1.95887918400936,0.778221778221778,609.098387602744,10.6662168148431,527.816450154014,2.9770163491949,124.607188703466,0,603,0.672184220322299,1,0,26,2.483226,3,2,1258,339.064184852375,0,10.3638459703708,529.951542984352,2.52725730792675,768,40.0416869191953,0.0409556313993174,10.246344279461,531.081563460475,2.80883103695544
1383,10.2306579898771,509.384671005061,7.94649313087491,13.8231764775095,28.1740553550894,12.4496981512213,9.49029452270741,-34.9787357321732,-7.86117409369968,-64.1501988892327,-0.811664775403166,0.567884984121645,-0.136773305797907,-0.350808297645956,-0.286691300002198,0.891482830348289,0.467047996112257,0.771566421840796,0.431915994164741,49.6110871969776,9.68718650353262,5.62910563298314,0.574335548172757,861.361067936589,9.34357444855954,510.887788010881,8.45618629346793,220.61460592914,0,1427,0.69691584611806,2,2,24,2.526069,3,2,976,233.261026753435,0,11.0508958462492,509.076574705518,7.08071295722257,580,16.723516345065,0.0021978021978022,12.5206483677204,506.397514642537,6.4073397412703
1326,115.447209653092,629.448717948718,4.20663650075415,13.6305998104302,42.8579498738435,8.78856570772933,5.56481708984044,-71.6368289222089,-6.77476408957981,-45.7592979278726,0.312839307238889,-0.942451827864477,0.117966605449156,-0.688772654840683,-0.139585067004122,0.711412847095955,0.654005961585986,0.303810074264103,0.692802743200134,114.800241711805,4.82743044994226,1.93544932771127,0.792114695340502,890.3890964406,116.260592581231,629.25456962446,3.99702431168034,147.5,0,750,0.655541173364539,3,3,35,2.533587,3,2,720,93.1274509803922,0,118.49928332537,628.506676816183,3.35253103565557,413,11.6462717473287,0.00253807106598985,115.840462958705,628.982881228318,3.68720166383605
1246,128.185393258427,856.838683788122,3.830658105939,13.3507748929216,47.2400557922545,7.53700303220442,5.32969248820634,83.6558365371438,-2.13405356915991,-72.50769041103,0.110423782499267,0.993186762741923,0.0372376499362429,-0.294812573230034,0.0685121573306314,-0.953095814156892,0.949153377976416,-0.0942663174846791,-0.300369316781587,139.476429453457,3.55040091921617,1.77535137617769,0.812785388127854,873.136620036707,126.757804895008,856.638202266722,3.64686761229314,92.3402889245586,0,705,0.641328612458674,4,0,37,2.42029,3,2,692,179.820224719101,0,126.705680722676,856.303624986611,3.19011764915914,620,40.9214262735608,0.00272479564032698,127.983910754527,856.284595995547,3.32127206757856
2345,220.61407249467,786.161194029851,5.12238805970149,16.4834484756275,54.1276596924437,13.3689297086738,7.71816266364003,87.5826458354891,3.96910812361805,-33.2429400434456,-0.0420771094950447,-0.996713750583255,0.0692186120548691,0.837209892336485,0.00263524064712109,0.546875352965064,0.545260591855374,-0.0809614408529901,-0.834347728506847,183.112721486312,11.1705175972162,3.72312718140044,0.551634909433075,1479.15471142303,220.50283978067,786.019029269829,4.72236121827504,186.806823027719,0,1038,0.577075214061875,5,1,54,2.380104,3,1.414214,824,161.391044776119,0,221.138034994266,785.496897971263,4.11079051529612,536,11.9140282338013,0.00323624595469256,221.596120250681,785.542640877132,5.15855623576688
1334,262.105697151424,423.485757121439,4.06746626686657,13.6579568327643,42.0308865865501,8.52114706740111,5.67696734296975,-75.1869401659578,2.63175593406471,-109.450254557023,-0.255396468540904,0.965745465711247,0.0459166561827246,0.332990872097062,0.0432765397396395,0.941936420470193,0.907683713061369,0.255857062764214,-0.332637100271145,110.412214203215,4.5381217090174,2.01424738832153,0.807017543859649,874.172552002715,263.025371695753,423.151975883354,3.77268420728831,182.769865067466,0,771,0.670384830009514,6,0,30,2.669464,3,2,737,174.248125937031,0,262.509591433746,423.163731947498,3.31542674244021,554,11.496197987421,0.00333333333333333,260.710330632886,423.906870166113,4.14516189572746
899,250.02447163515,265.566184649611,3.0622914349277,11.9743980237354,41.3919584448528,6.38417489606738,5.32919585451115,4.93249882372588,-1.45570523552433,-55.4394280391713,-0.995975145018482,-0.0859542982968796,-0.0254041159992631,-0.0279321559314815,0.566975193037199,-0.823261152457378,0.0851663382471762,-0.819238053977427,-0.567094088970116,107.080888993776,2.54735556897356,1.77502052848368,0.821004566210046,680.657275200172,250.149303293464,265.634448864966,2.82355582823638,175.86318131257,0,761,0.661803045656571,7,0,26,2.571673,3,2,1251,311.914349276974,0,250.015994379678,264.861535389125,2.64009971078167,656,22.9739756219877,0.0114942528735632,249.442985074022,262.463845448496,2.69120878053386
1516,262.965039577836,921.913588390501,4.28825857519789,14.2528000648902,55.9936793755153,8.39812228663036,5.41994505928978,-72.1428532441375,-5.71571362870721,42.7240336975126,0.305120257771634,-0.947091829472047,0.0995926445309226,0.678518425299072,0.289585633331057,0.675094739646162,0.668217311080041,0.138409636642619,-0.730977699835924,195.955758125501,4.40802862132487,1.83598777785749,0.690346083788707,1080.42341450588,264.774468731026,921.279280510018,3.96089860352155,86.9129287598945,0,591,0.590685447192383,8,0,42,2.340043,2.828427,2,544,88.3660949868074,0,265.826116166404,920.409747467584,3.49874219000769,410,17.2467149781026,0.00200803212851406,264.029974164302,920.919121238016,3.82705561716374
601,272.459234608985,291.289517470882,2.78535773710483,10.4702877309537,24.7486425533577,6.59304621296221,5.7242337650701,77.0470059835458,0.959762489367012,-13.6809951410245,-0.224120149239073,-0.974417563690936,0.0167502321081419,-0.947791889591779,0.213930995858999,-0.236482690772121,-0.226849493561482,0.0688762700891817,0.971491310660832,38.2809567646166,2.71676614789095,2.04792826232304,0.837047353760446,460.263845286036,272.256228855451,291.138925924918,2.55796214161973,183.44925124792,0,912,0.748273292099254,9,0,14,2.77977,3.605551,2,934,269.83693843594,0,272.115864637545,291.100559899366,2.31984559603384,497,15.9730619291749,0.00380228136882129,272.757407947178,291.569060322857,2.76144145977861
779,276.450577663671,544.274711168164,4.21437740693196,11.4159733197957,25.1970756679278,8.31402701282675,5.95618614313809,-42.5526596763124,-0.642754212471054,-107.661974223878,-0.736609748176755,0.676224989680511,-0.0112179419935661,0.197305833696506,0.230730737088985,0.952803093483486,0.646897586083226,0.699630681355504,-0.303381645499079,39.680788888455,4.3201903231258,2.21725958573188,0.765978367748279,542.384395714481,275.78779209559,545.092492521864,4.23585267053003,157.498074454429,0,837,0.754863760840656,10,0,17,2.427456,3,2,998,235.731707317073,0,275.781588477142,544.822261551447,3.66826585345931,573,24.4310296865645,0.0027027027027027,277.035153149311,543.471161738547,3.23101057193667
