Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth
383,2.77023498694517,10.8798955613577,2.76762402088773,9.01017827271831,20.6592105644798,6.18230177225598,4.81432297287638,0.247506840164217,2.49368250544731,-32.7403593725579,-0.99904370350367,-0.00431570510839284,0.0435092309641032,0.027164516167756,-0.841020527658145,0.540320794638691,-0.0342602911698369,-0.540985994963855,-0.840333496715397,26.6751863217195,2.38880345020246,1.44860660544783,0.874429223744292,330.46367426233,2.47255317271203,10.4302356367487,2.99333686347189,59.1697127937337,0,481,0.771778921640242,1,0,16,2.482003,3.162278,2
1877,39.1598295151838,967.937666489078,9.99307405434203,15.3045964776334,41.3820972164629,11.6161944690114,7.72967341630995,59.256375753086,-21.6020053614077,-31.9475264233999,0.475292781869333,0.799097694317106,0.368157094784272,0.629697919377044,-0.601197848356419,0.491977313972742,0.614473190493396,-0.0020055095851533,-0.788935153289655,107.029873127049,8.43349837136821,3.73424069517555,0.604314230521571,1097.55521831394,35.0164720486651,965.460467417503,7.93425332544387,478.102823654768,0,3669,0.670451336153063,2,0,26,2.842345,3.605551,2
1085,50.2847926267281,549.553917050691,3.3778801843318,12.7490269339282,38.4756731970669,7.14103110346042,6.56567478751505,-26.4620755983774,-4.93412089089134,-8.35092334594847,0.89191201133321,-0.4439540520723,0.0860102533895465,0.452063628086066,0.880171083521024,-0.144697408045514,-0.0114647372936298,0.167939463444457,0.985730640903881,92.5235892479683,3.18714532628682,2.69425533846317,0.777220630372493,739.67998797528,49.7304780737354,550.695741918702,3.30823701127444,382.660829493088,0,2944,0.690335299191192,3,0,28,2.796824,3.741657,2
482,96.1887966804979,841.290456431535,3.97095435684647,9.72783372317443,11.0336890541,8.65391828530303,7.62109327328563,-82.1002237288302,28.5114682471986,-9.70072523818889,0.120772091027059,-0.870382519661787,-0.477334653567233,-0.965292432805036,-0.215143937942353,0.148066218753608,0.231569905640362,-0.44288526215472,0.866157043132398,7.60889338391042,4.68064385554388,3.63006641750747,0.932301740812379,315.229593993932,96.2619637016886,841.207544169535,4.29809655196125,965.489626556017,0,3193,0.943094402796862,4,0,2,3.370829,3.741657,3
4864,143.126027960526,702.848273026316,13.8205180921053,21.0215619188462,127.100856548132,9.44805003937385,8.19749915012128,-12.3264332564078,12.5539598772084,87.828648747723,-0.953590078357177,0.208377158029881,0.217358971450787,-0.220284173667538,0.00935399020486474,-0.975390888669183,0.205282355039014,0.978003815370184,-0.0369823178153931,1009.66423345431,5.57910309665677,4.19993701976484,0.495366126896833,2870.40231909666,141.932216007213,708.141545673439,12.8140273052331,498.220600328947,0,3284,0.483656538228151,5,0,123,2.859415,4,1
606,147.173267326733,86.5709570957096,5.89108910891089,10.4992433201177,15.4654544433801,8.36643590570188,7.07427575974901,-52.3395829205446,-49.4169368575893,-141.111370902134,0.397473062715059,-0.515004985865088,0.759463645574962,-0.32487752757862,-0.853022336211585,-0.40842072180355,0.858178161275568,-0.084396436288687,-0.506366947036886,14.9487675712666,4.3748281102636,3.12783609531077,0.835862068965517,391.112772523002,147.141032303947,86.6452309964715,6.15667824612271,60.3283828382838,0,558,0.885449659043089,6,0,6,3.206239,3.605551,2.828427
810,170.916049382716,46.4012345679012,2.18641975308642,11.5654392624423,42.0562643158228,10.6868647275184,3.82450039785517,76.2148774812229,0.505063480557451,-7.72016631918621,-0.238272026096201,-0.971158452057795,0.00881490650649322,-0.962675403615214,0.234971455168275,-0.134329752960352,-0.128384223541278,0.0404929160818339,0.990897479506782,110.545585512647,7.13806735651734,0.914175205824648,0.611320754716981,743.034503858056,176.583453019511,47.3621752596457,1.7392795380602,126.359259259259,0,1399,0.565542380777345,7,3,45,2.147643,2.828427,2
766,191.906005221932,480.236292428198,3.43342036553525,11.3521132691032,21.8658826972173,9.62994060256831,8.56430202928436,-4.55242610826956,4.00274294044556,33.0010049156118,-0.994413530993056,0.0791776407687907,0.0698042303890775,0.104464763227299,0.832997518943052,0.54332517581885,0.0151275451342057,-0.547581988963304,0.836615277616423,29.8823016330293,5.79598475056212,4.58420432805026,0.666086956521739,565.345539064781,191.766365979381,481.073367697595,2.99731529209622,60.7832898172324,0,572,0.716125823356671,8,3,19,2.795503,3.605551,2
4202,317.696335078534,558.411232746311,4.45740123750595,20.0210019801765,96.1912599854994,16.4985931994021,8.90889382460843,13.6674667255838,-2.15898060435992,3.72814254643261,-0.97099368685489,-0.236118720356606,-0.0376724034952382,-0.238166610104408,0.969048371474487,0.0649763000948792,-0.0211642604246807,-0.0720638858222628,0.997175446168262,578.297406099872,17.0127235974597,4.96052432363413,0.43319587628866,2302.97297816603,316.96559193221,554.672030664607,4.28799750300159,467.38648262732,0,2437,0.546805214713257,9,0,81,3.387352,4,2.828427
687,362.470160116448,594.83114992722,2.28529839883552,10.9476113604367,41.1013751449034,6.17924728287773,4.31263937733127,39.1326594037988,-0.195969915671357,2.72728145149554,-0.775682249673894,-0.631114370772653,-0.00342031359450358,-0.630529454699027,0.774705479557072,0.0475817895963915,0.0273798155178979,-0.0390649580632809,0.998861489273523,105.58268992513,2.38644356143448,1.16242864993177,0.831719128329298,583.189558565682,360.600821346313,592.473816870193,1.89227615777961,200.96943231441,0,1138,0.645622825442737,10,0,26,2.56364,3,2
