Volume,Centroid_1,Centroid_2,Centroid_3,EquivDiameter,PrincipalAxisLength_1,PrincipalAxisLength_2,PrincipalAxisLength_3,Orientation_1,Orientation_2,Orientation_3,EigenVectors_1,EigenVectors_2,EigenVectors_3,EigenVectors_4,EigenVectors_5,EigenVectors_6,EigenVectors_7,EigenVectors_8,EigenVectors_9,EigenValues_1,EigenValues_2,EigenValues_3,Solidity,SurfaceArea,WeightedCentroid_1,WeightedCentroid_2,WeightedCentroid_3,MeanIntensity,MinIntensity,MaxIntensity,sphericity,id,nb_branch_pt,SkeletonSize,MeanWidth,MaxWidth,MinWidth
1438,184.670375521558,379.431154381085,11.7892906815021,14.0040425366656,52.1042763072375,7.85523783393711,7.65292604160985,71.5845250603874,-29.619103202212,-51.0568415933953,0.274626021060894,0.824812424147912,0.494231740712296,0.474928001677775,-0.563275798482704,0.676138867442204,-0.836076516700844,-0.0490391661319475,0.546416707656772,169.67847559381,3.85654758923231,3.66045481239689,0.504561403508772,989.610409932497,181.846415546185,378.535642854344,10.0743979835724,0.279627180719454,0.00375788592361094,0.925471143447111,0.622576122237426,1,0,35,2.590026,3.162278,2
658,177.498480243161,457.323708206687,5.32978723404255,10.7913494706081,21.5305421318963,7.65330140975644,6.5781986773605,4.8578040819747,-24.3763601103515,28.4339940209952,0.907582178000288,0.0771339735640791,0.412728652141415,0.270280686034835,-0.859565629326183,-0.433699526905002,0.321314395775839,0.50517054447315,-0.800974269289538,28.9727652808352,3.66081390428624,2.70454361492672,0.752,478.843430327993,177.484177561596,456.572840955333,4.97224070323516,0.383283659039465,0.0461223363972825,1,0.764025499649489,2,0,13,2.651647,3,2
1145,201.765065502183,656.341484716157,8.11353711790393,12.9798285160322,42.1837817925723,6.80826402512264,6.71854532340113,40.285615402101,-23.8837642295362,91.604668845818,0.697508521515288,0.591229247572342,0.40488250052157,0.290628921696131,0.283055282512357,-0.914010140488383,0.65499365820388,-0.75520042628225,-0.0256051529151214,111.216965395209,2.8970286897362,2.82117820391219,0.722397476340694,786.395178482027,201.316865060183,655.768448422497,7.74608931447098,0.289665983412578,0.00222894670677634,0.800288345705298,0.673049398045812,3,0,27,2.747307,3.162278,2
1509,209.35719019218,482.506295559973,5.57786613651425,14.2308291865311,26.3829698503701,13.5598840075673,6.90480254264422,-15.9324953095062,-13.3002611720411,-144.088816373759,-0.935793955994736,0.267141814958253,-0.23005417323868,-0.092578351591417,-0.815854395706353,-0.570798435372101,0.340174838488002,0.512851689777301,-0.788203161343717,43.5038186328461,11.4919033936674,2.97976863455663,0.708450704225352,905.32648829545,209.446178854304,482.517164123725,5.68854305245922,0.446984191700074,0.0802420814439483,1,0.702756800746313,4,2,25,2.795384,3.605551,2
672,216.605654761905,377.212797619048,5.92410714285714,10.8673473933311,15.9585251250628,11.4181666288728,5.80668267873545,51.6488453758409,-44.4035964943598,14.8157526490224,0.443288361191863,0.560271257329605,0.699708187062389,0.869168089135182,-0.459534589697584,-0.182687694442098,0.219185450386034,0.689147356580417,-0.690676233308556,15.9171577604538,8.14840807279409,2.10734773322039,0.831683168316832,452.782056890209,216.4494211769,377.027668383146,5.70266901908633,0.25632543873798,0,0.616259238203525,0.819422274237653,5,0,10,2.613431,3,2.236068
1276,243.044670846395,150.82210031348,8.80015673981191,13.4570753459772,31.2681740912178,9.90655001906096,6.76705514715348,54.50059649994,-25.7110230280985,-62.0952257473028,0.523201994824908,0.733518297394552,0.433832433087517,-0.158379666943733,0.583892499739828,-0.796232020108691,0.837362259544834,-0.347879945002543,-0.421668104265664,61.1061694374189,6.1337333300098,2.86206471028853,0.69159891598916,769.906209929665,242.496951523136,150.386010794348,8.42543019177273,0.403418307559039,0,1,0.738947217526331,6,1,17,2.979852,3.605551,2.44949
828,230.30193236715,202.626811594203,3.85628019323672,11.6504823111637,20.1354091087311,13.4011358668611,6.44568223759661,-69.7604367276506,-6.77751591305228,5.90590133814953,0.343528647103925,-0.93169774820311,0.11801429833796,-0.929073472011557,-0.355503248016086,-0.102175947533671,-0.137151566609124,0.0745435888810528,0.98774121162043,25.3396687484983,11.2244026576295,2.59667621925428,0.646875,579.11944919112,230.552192541062,202.620404978754,3.83110332450757,0.231386544433245,0,0.576406357614551,0.736324975789728,7,0,18,2.611557,3,2
2006,259.445164506481,509.552342971087,5.29062811565304,15.6474690829196,50.6338906805585,12.1224663429094,8.23138561230725,-13.7912803755177,-9.91060601906682,-97.7573271845707,0.956678261286007,-0.234828347651675,0.172111450874039,-0.133443195509909,0.171739748033886,0.976062688825549,0.258765565628208,0.95674505804025,-0.132963438435803,160.236930340672,9.18463688968568,4.23473181865616,0.479216435738175,1415.27358627493,259.730987649791,508.124373414404,4.69579623255638,0.412360049387344,0.0112736577708328,0.980055779370161,0.543497656229252,8,3,56,2.406906,3.162278,1.414214
1078,286.08719851577,751.71892393321,8.98237476808905,12.7215504976043,28.0729642372089,15.1502076505009,5.70342774140618,-81.7483386084278,51.0138100016798,-8.16121690692027,-0.090294005960705,0.622619784660992,0.777297623974413,0.963787856533359,0.251269781456989,-0.0893110548890242,-0.250918233865938,0.741085757976266,-0.622761542838302,49.2557075664756,14.345549490831,2.0330680000901,0.56,758.447384352369,285.315881835061,751.468572186725,8.14986731623624,0.268567774377414,0.00624417305123937,0.797219938790338,0.670354466104932,9,0,20,2.309721,2.828427,2
665,290.048120300752,454.347368421053,4.50977443609023,10.8294817643945,24.1266771654709,10.3813821197406,4.93676673407042,-4.24853263420933,11.1095290723154,56.22304562725,-0.978564208335757,0.0726946825178776,0.1926851662631,-0.200908626872433,-0.542568359379405,-0.815631840384235,0.0452527768479141,-0.836860238351641,0.545542965909733,36.3810344404284,6.73581841975437,1.52322911166402,0.689119170984456,510.233472401551,290.010893991882,454.866398328969,4.2953471305629,0.267445014246604,0.0362929860175338,0.630471859010802,0.722098221765814,10,1,19,2.060931,2.44949,2
